year	location_1	location_2	parasite_flow
2012	Rayong	Buri Ram	0.000669392771454155
2012	Roi Et	Buri Ram	0.0040945992577454
2012	Sa Kaeo	Buri Ram	0.00344773100292848
2012	Sakon Nakhon	Buri Ram	0.000932282397384608
2012	Samut Prakan	Buri Ram	0.000316731897069208
2012	Samut Sakhon	Buri Ram	0.000226581521668169
2012	Samut Songkhram	Buri Ram	2.42398564883499e-05
2012	Saraburi	Buri Ram	0.000965996519978409
2012	Satun	Buri Ram	3.39423304920991e-06
2012	Si Sa Ket	Buri Ram	0.007872677022086
2012	Sing Buri	Buri Ram	0
2012	Songkhla	Buri Ram	6.19835576335636e-05
2012	Sukhothai	Buri Ram	1.23593156495091e-05
2012	Suphan Buri	Buri Ram	3.44925939409685e-05
2012	Surat Thani	Buri Ram	8.36085643246852e-05
2012	Surin	Buri Ram	0.053073305088652
2012	Tak	Buri Ram	4.16911178280873e-05
2012	Trang	Buri Ram	7.32848152399677e-06
2012	Trat	Buri Ram	0.000218978183885878
2012	Ubon Ratchathani	Buri Ram	0.0045350981612936
2012	Udon Thani	Buri Ram	0.00113881434209618
2012	Uthai Thani	Buri Ram	9.29690119344252e-05
2012	Uttaradit	Buri Ram	3.53606492088297e-05
2012	Yala	Buri Ram	1.92680643158682e-05
2012	Yasothon	Buri Ram	0.001150793582722
2012	Amnat Charoen	Chachoengsao	0.000122902277609604
2012	Ang Thong	Chachoengsao	0.000353633496994725
2012	Bangkok	Chachoengsao	0.00127525308539138
2012	Bueng Kan	Chachoengsao	0
2012	Buri Ram	Chachoengsao	0.00337081283183058
2012	Chachoengsao	Chachoengsao	1.54697248590103
2012	Chai Nat	Chachoengsao	0
2012	Chaiyaphum	Chachoengsao	0
2012	Chanthaburi	Chachoengsao	0.00478949613230399
2012	Chiang Mai	Chachoengsao	0.000598867187341189
2012	Chiang Rai	Chachoengsao	0.000288014376066428
2012	Chon Buri	Chachoengsao	0.0422725880779085
2012	Chumphon	Chachoengsao	0.000583546234473561
2012	Kalasin	Chachoengsao	0.00090057174389389
2012	Kamphaeng Phet	Chachoengsao	2.37928536780284e-05
2012	Kanchanaburi	Chachoengsao	0.00439657928910917
2012	Khon Kaen	Chachoengsao	0.000648958562445227
2012	Krabi	Chachoengsao	0.000113507328790477
2012	Lampang	Chachoengsao	0.000451153102517455
2012	Lamphun	Chachoengsao	0.000146078688791599
2012	Loei	Chachoengsao	0.000398739951614823
2012	Lop Buri	Chachoengsao	0.000993706089077239
2012	Mae Hong Son	Chachoengsao	5.15751410833162e-05
2012	Maha Sarakham	Chachoengsao	0.000564317942812541
2012	Mukdahan	Chachoengsao	0.000373806412061708
2012	Nakhon Nayok	Chachoengsao	0.00794461318179373
2012	Nakhon Pathom	Chachoengsao	0.000835065012842346
2012	Nakhon Phanom	Chachoengsao	0.000300426992107011
2012	Nakhon Ratchasima	Chachoengsao	0.00697289598394874
2012	Nakhon Sawan	Chachoengsao	0.000945641774584327
2012	Nakhon Si Thammarat	Chachoengsao	0.000114729950987017
2012	Nan	Chachoengsao	0
2012	Narathiwat	Chachoengsao	4.33806996008794e-05
2012	Nong Bua Lam Phu	Chachoengsao	0.000574921949149644
2012	Nong Khai	Chachoengsao	0
2012	Nonthaburi	Chachoengsao	0.000526062733246469
2012	Pathum Thani	Chachoengsao	0.00456618689036253
2012	Pattani	Chachoengsao	8.09970827314541e-05
2012	Phangnga	Chachoengsao	4.70724177227468e-05
2012	Phatthalung	Chachoengsao	7.45189240370311e-06
2012	Phayao	Chachoengsao	0.000105830586178113
2012	Phetchabun	Chachoengsao	0.00138133971709263
2012	Phetchaburi	Chachoengsao	0.00197652474019466
2012	Phichit	Chachoengsao	0.000180839263689326
2012	Phitsanulok	Chachoengsao	0.000324362526250168
2012	Phra Nakhon Si Ayutthaya	Chachoengsao	0.000588446893744387
2012	Phrae	Chachoengsao	0.000167670700874126
2012	Phuket	Chachoengsao	4.08314645683231e-05
2012	Prachin Buri	Chachoengsao	0
2012	Prachuap Khiri Khan	Chachoengsao	0.00166749022693582
2012	Ranong	Chachoengsao	6.4305263382665e-05
2012	Ratchaburi	Chachoengsao	0.0019745446162643
2012	Rayong	Chachoengsao	0.00614579028423195
2012	Roi Et	Chachoengsao	0.000937054225636206
2012	Sa Kaeo	Chachoengsao	0.0138102054031881
2012	Sakon Nakhon	Chachoengsao	0.00088377401872468
2012	Samut Prakan	Chachoengsao	0.0118182324217755
2012	Samut Sakhon	Chachoengsao	0.00112312393159283
2012	Samut Songkhram	Chachoengsao	0.00020761723732219
2012	Saraburi	Chachoengsao	0.00173208676225161
2012	Satun	Chachoengsao	1.40515556646552e-05
2012	Si Sa Ket	Chachoengsao	0.00217923235518993
2012	Sing Buri	Chachoengsao	0
2012	Songkhla	Chachoengsao	0.000339055601544923
2012	Sukhothai	Chachoengsao	7.38341262768582e-05
2012	Suphan Buri	Chachoengsao	0.000189177162813929
2012	Surat Thani	Chachoengsao	0.000486805684267657
2012	Surin	Chachoengsao	0.00257008536905705
2012	Tak	Chachoengsao	0.000689387271754298
2012	Trang	Chachoengsao	5.20145194553811e-05
2012	Trat	Chachoengsao	0.00103990275053134
2012	Ubon Ratchathani	Chachoengsao	0.00127825228503115
2012	Udon Thani	Chachoengsao	0.00120731695508194
2012	Uthai Thani	Chachoengsao	0.000676293383259469
2012	Uttaradit	Chachoengsao	0.000192251470313636
2012	Yala	Chachoengsao	5.7110806239709e-05
2012	Yasothon	Chachoengsao	0.000374894771435184
2012	Amnat Charoen	Chai Nat	0
2012	Ang Thong	Chai Nat	0
2012	Bangkok	Chai Nat	0
2012	Bueng Kan	Chai Nat	0
2012	Buri Ram	Chai Nat	0
2012	Chachoengsao	Chai Nat	0
2012	Chai Nat	Chai Nat	0
2012	Chaiyaphum	Chai Nat	0
2012	Chanthaburi	Chai Nat	0
2012	Chiang Mai	Chai Nat	0
2012	Chiang Rai	Chai Nat	0
2012	Chon Buri	Chai Nat	0
2012	Chumphon	Chai Nat	0
2012	Kalasin	Chai Nat	0
2012	Kamphaeng Phet	Chai Nat	0
2012	Kanchanaburi	Chai Nat	0
2012	Khon Kaen	Chai Nat	0
2012	Krabi	Chai Nat	0
2012	Lampang	Chai Nat	0
2012	Lamphun	Chai Nat	0
2012	Loei	Chai Nat	0
2012	Lop Buri	Chai Nat	0
2012	Mae Hong Son	Chai Nat	0
2012	Maha Sarakham	Chai Nat	0
2012	Mukdahan	Chai Nat	0
2012	Nakhon Nayok	Chai Nat	0
